"satisfaction";"Gender";"Customer.Type";"Age";"Type.of.Travel";"Class";"Flight.Distance";"Seat.comfort";"Departure.Arrival.time.convenient";"Food.and.drink";"Gate.location";"Inflight.wifi.service";"Inflight.entertainment";"Online.support";"Ease.of.Online.booking";"On.board.service";"Leg.room.service";"Baggage.handling";"Checkin.service";"Cleanliness";"Online.boarding";"Departure.Delay.in.Minutes";"Arrival.Delay.in.Minutes"
"satisfied";"Female";"Loyal Customer";20;"Personal Travel";"Eco";3009;0;1;0;3;4;0;3;4;1;2;3;1;4;4;0;0
"satisfied";"Female";"Loyal Customer";48;"Personal Travel";"Eco";1449;0;1;0;3;3;3;2;2;2;1;2;4;2;2;0;2
"satisfied";"Male";NA;NA;"Personal Travel";"Eco";2840;0;1;0;3;4;0;4;4;2;4;2;4;3;4;0;0
"satisfied";"Male";"Loyal Customer";13;"Personal Travel";"Eco";2306;0;1;0;3;4;0;3;4;4;2;3;2;2;4;0;0
"satisfied";"Male";"Loyal Customer";34;"Personal Travel";"Eco";1952;0;1;0;3;2;0;2;2;3;4;4;4;4;2;10;0
"satisfied";"Male";NA;70;"Personal Travel";"Eco";1650;0;1;0;4;4;0;4;4;1;4;4;4;4;4;19;45
"satisfied";"Female";NA;59;"Personal Travel";"Eco";474;0;1;0;4;4;3;3;3;3;0;3;1;3;1;0;0
"satisfied";"Female";"Loyal Customer";48;"Personal Travel";"Eco";457;0;2;0;4;5;4;4;4;4;0;4;4;4;3;0;0
"satisfied";"Male";"Loyal Customer";12;"Personal Travel";"Eco";2794;0;3;0;1;3;0;3;3;3;2;4;2;2;3;14;1
"satisfied";"Male";"Loyal Customer";37;"Personal Travel";"Eco";1303;0;4;0;1;5;0;5;5;4;2;4;3;2;5;0;0
"satisfied";"Female";"Loyal Customer";7;"Personal Travel";"Eco";1474;0;4;0;3;3;0;3;3;4;2;5;3;5;3;0;0
"satisfied";"Male";"Loyal Customer";46;"Personal Travel";"Eco Plus";1060;0;4;0;3;1;0;1;1;4;1;4;3;4;1;2;4
"satisfied";"Female";"Loyal Customer";41;"Personal Travel";"Eco";3657;0;4;0;4;2;0;2;2;1;2;3;4;4;2;0;0
"satisfied";"Male";"Loyal Customer";14;"Personal Travel";"Eco";1757;0;4;0;4;4;0;4;4;3;4;4;4;5;4;0;0
"satisfied";"Female";"Loyal Customer";19;"Personal Travel";"Eco";1549;0;4;0;4;2;0;2;2;2;2;4;2;4;2;0;0
"satisfied";"Female";"Loyal Customer";21;"Personal Travel";"Eco";1048;0;4;0;4;5;0;5;5;5;2;4;5;4;5;0;0
"satisfied";"Male";"Loyal Customer";52;"Personal Travel";"Eco";2102;0;5;0;1;1;0;1;1;4;4;5;5;5;1;0;0
"satisfied";"Male";"Loyal Customer";37;"Personal Travel";"Eco";3443;0;5;0;3;5;0;5;5;4;2;1;1;1;5;9;17
"satisfied";"Male";"Loyal Customer";12;"Personal Travel";"Eco";2638;0;5;0;3;5;0;5;5;3;3;5;3;5;5;13;6
"satisfied";"Female";"Loyal Customer";35;"Personal Travel";"Eco";1056;0;5;0;NA;2;0;2;2;5;3;4;5;4;2;2;0
"satisfied";"Male";NA;48;"Personal Travel";"Eco";2011;0;5;0;3;4;0;3;4;4;4;5;5;4;4;0;3
"satisfied";"Female";"Loyal Customer";53;"Personal Travel";"Eco";50;0;5;0;4;2;4;4;3;3;0;3;4;3;4;0;0
